#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,SUBSYSTEM,DATABASE-REFERENCE,GEM-REFERENCE
,R1,secretory phospholipase A2,"H2O [cytoplasm] + phosphatidylcholine [cytoplasm] --> 1-acylglycerophosphocholine [cytoplasm] + (9Z,12Z,15Z)-Octadecatrienoic acid [cytoplasm]",3.1.1.4,AFUA_2G11970 or AFUA_4G08440,0,1000,0,alpha-Linolenic acid metabolism,KEGG:R07859,
,R605,Stearoyl-CoA 9-desaturase,NADH [endoplasmic_reticulum] + oxygen [endoplasmic_reticulum] + Octadecanoyl-[acyl-carrier protein] [endoplasmic_reticulum] --> 2.0 H2O [endoplasmic_reticulum] + NAD(+) [endoplasmic_reticulum] + Octadecenoyl-[acp] [endoplasmic_reticulum],1.14.19.1,AFUA_7G05920,0,1000,0,Fatty acid metabolism,,r1244AORYZAE [4]
,R606,Acetyl coenzyme A-acyl-carrier-protein transacylase,H2O [cytoplasm] + Linolenoyl-[acp] [cytoplasm] --> Acyl-carrier protein [cytoplasm] + linoleate [cytoplasm],3.1.2.14,,0,1000,0,Fatty acid metabolism,,r1279AORYZAE [4]
,R607,Fatty-acid synthase,18.0 NADPH [nucleus] + Acyl-[acp] [nucleus] + 9.0 Malonyl-[acyl-carrier protein] [nucleus] --> 18.0 NADP(+) [nucleus] + 9.0 CO2 [nucleus] + 9.0 Acyl-carrier protein [nucleus] + Eicosanoic acid-[acp] [nucleus],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R608,Fatty-acid synthase,18.0 NADPH [cytoplasm] + Acyl-[acp] [cytoplasm] + 9.0 Malonyl-[acyl-carrier protein] [cytoplasm] --> 18.0 NADP(+) [cytoplasm] + 9.0 CO2 [cytoplasm] + 9.0 Acyl-carrier protein [cytoplasm] + Eicosanoic acid-[acp] [cytoplasm],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R609,Fatty-acid synthase,12.0 NADPH [nucleus] + Acyl-[acp] [nucleus] + 7.0 Malonyl-[acyl-carrier protein] [nucleus] --> 12.0 NADP(+) [nucleus] + 7.0 CO2 [nucleus] + 7.0 Acyl-carrier protein [nucleus] + Hexadecadienoic acid-[acp] [nucleus],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R610,Fatty-acid synthase,12.0 NADPH [cytoplasm] + Acyl-[acp] [cytoplasm] + 7.0 Malonyl-[acyl-carrier protein] [cytoplasm] --> 12.0 NADP(+) [cytoplasm] + 7.0 CO2 [cytoplasm] + 7.0 Acyl-carrier protein [cytoplasm] + hexadecadienoyl-[acp] [cytoplasm],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R611,dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase,NADP(+) [cytoplasm] + Dodecanoyl-[acyl-carrier protein] [cytoplasm] --> NADPH [cytoplasm] + trans-Dodec-2-enoyl-[acp] [cytoplasm],1.3.1.10; 1.3.1.39; 1.3.1.104; 2.3.1.85; 2.3.1.86,AFUA_4G07940 or AFUA_5G09600 or AFUA_2G09850,0,1000,0,Fatty acid metabolism,KEGG:R04725,r196iLC915 [5]
,R612,dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase,NADP(+) [peroxisome] + Dodecanoyl-[acyl-carrier protein] [peroxisome] --> NADPH [peroxisome] + trans-Dodec-2-enoyl-[acp] [peroxisome],1.3.1.10; 1.3.1.39; 1.3.1.104; 2.3.1.85; 2.3.1.86,AFUA_4G07940 or AFUA_5G09600 or AFUA_2G09850,0,1000,0,Fatty acid metabolism,KEGG:R04725,r196iLC915 [5]
,R613,[ACP]acetyltransferase,stearoyl-CoA [endoplasmic_reticulum] + sphinganine [endoplasmic_reticulum] --> coenzyme A [endoplasmic_reticulum] + Cerebrin 2 [endoplasmic_reticulum],2.3.1.38,AFUA_6G10460,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R614,stearoyl-CoA 12-desaturase,oxygen [nucleus] + linoleate [nucleus] <=> 8(R)-HPODE [nucleus],1.13.11.60,AFUA_4G10770,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R615,stearoyl-CoA 12-desaturase,oxygen [cytoplasm] + linoleate [cytoplasm] <=> 8(R)-HPODE [cytoplasm],1.13.11.60,AFUA_4G10770,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R616,3-oxoacyl-[acyl-carrier-protein] synthase,Acyl-[acp] [nucleus] + Malonyl-[acyl-carrier protein] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxoacyl-[acp] [nucleus],2.3.1.41,AFUA_3G02530,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R617,3-oxoacyl-[acyl-carrier-protein] synthase,Acyl-[acp] [cytoplasm] + Malonyl-[acyl-carrier protein] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxoacyl-[acp] [cytoplasm],2.3.1.41,AFUA_3G02530,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R618,Malonyl transferase,Acyl-carrier protein [mitochondrion] + phosphatidylcholine [mitochondrion] --> acyl-[acp] (for phospholipids) [mitochondrion] + Lysophosphatidylcholine [mitochondrion],2.3.1.39,AFUA_2G15540,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R619,Acyl-CoA synthetase,ATP [extracellular] + coenzyme A [extracellular] + hexanoate [extracellular] --> H2O [extracellular] + diphosphate [extracellular] + AMP [extracellular] + hexanoyl-CoA [extracellular],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R620,Squalene monooxygenase,"NADP(+) [mitochondrion] + oxygen [mitochondrion] + squalene [mitochondrion] --> NADPH [mitochondrion] + (S)-2,3-epoxysqualene [mitochondrion]",1.14.14.17,AFUA_5G07770,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R621,Fatty-acid synthase,13.0 NADPH [nucleus] + Acyl-[acp] [nucleus] + 8.0 Malonyl-[acyl-carrier protein] [nucleus] --> 13.0 NADP(+) [nucleus] + 8.0 CO2 [nucleus] + 8.0 Acyl-carrier protein [nucleus] + octadecatrienoyl-[acp] [nucleus],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R622,Fatty-acid synthase,13.0 NADPH [cytoplasm] + Acyl-[acp] [cytoplasm] + 8.0 Malonyl-[acyl-carrier protein] [cytoplasm] --> 13.0 NADP(+) [cytoplasm] + 8.0 CO2 [cytoplasm] + 8.0 Acyl-carrier protein [cytoplasm] + octadecatrienoyl-[acp] [cytoplasm],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R623,Long-chain-fatty-acid-CoA ligase,ATP [cytoplasm] + coenzyme A [cytoplasm] + octanoate [cytoplasm] --> H2O [cytoplasm] + diphosphate [cytoplasm] + AMP [cytoplasm] + octanoyl-CoA [cytoplasm],6.2.1.3,AFUA_2G09910,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R624,Long-chain-fatty-acid-CoA ligase,ATP [peroxisome] + coenzyme A [peroxisome] + octanoate [peroxisome] --> H2O [peroxisome] + diphosphate [peroxisome] + AMP [peroxisome] + octanoyl-CoA [peroxisome],6.2.1.3,AFUA_5G04270 or AFUA_1G17190 or AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R625,Long-chain-fatty-acid-CoA ligase,ATP [endoplasmic_reticulum] + coenzyme A [endoplasmic_reticulum] + fatty acid [endoplasmic_reticulum] --> H2O [endoplasmic_reticulum] + diphosphate [endoplasmic_reticulum] + AMP [endoplasmic_reticulum] + long-chain acyl-CoAs [endoplasmic_reticulum],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R626,Fatty-acid synthase,38.0 NADPH [nucleus] + 2.0 Acyl-[acp] [nucleus] + 19.0 Malonyl-[acyl-carrier protein] [nucleus] --> 38.0 NADP(+) [nucleus] + 19.0 CO2 [nucleus] + 19.0 Acyl-carrier protein [nucleus] + 2.0 Heptadecanoic acid-[acp] [nucleus],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R627,Fatty-acid synthase,38.0 NADPH [cytoplasm] + 2.0 Acyl-[acp] [cytoplasm] + 19.0 Malonyl-[acyl-carrier protein] [cytoplasm] --> 38.0 NADP(+) [cytoplasm] + 19.0 CO2 [cytoplasm] + 19.0 Acyl-carrier protein [cytoplasm] + 2.0 Heptadecanoic acid-[acp] [cytoplasm],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R628,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [nucleus] + Nonanoyl-[acp] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxoundecanoyl-[acp] [nucleus],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R629,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Nonanoyl-[acp] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxoundecanoyl-[acp] [cytoplasm],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R630,Acyl-CoA synthetase,ATP [extracellular] + coenzyme A [extracellular] + decanoate [extracellular] --> H2O [extracellular] + diphosphate [extracellular] + AMP [extracellular] + decanoyl-CoA [extracellular],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R631,Acyl-CoA synthetase,ATP [cytoplasm] + coenzyme A [cytoplasm] + decanoate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + decanoyl-CoA [cytoplasm],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R632,Acyl-CoA synthetase,ATP [mitochondrion] + coenzyme A [mitochondrion] + decanoate [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + decanoyl-CoA [mitochondrion],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R633,sterol 14-demethylase,"NADPH [mitochondrion] + 4,4-dimethylcholesta-8,14,24-trienol[c] [mitochondrion] --> NADP(+) [mitochondrion] + 14-demethyllanosterol [mitochondrion]",1.3.1.70,AFUA_1G03150 or AFUA_1G05720,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R634,3-oxoacyl-[acyl-carrier-protein] reductase,NADPH [mitochondrion] + 3-Oxotetradecanoyl-[acp] [mitochondrion] <=> NADP(+) [mitochondrion] + 3-hydroxymyristoyl-[acp] [mitochondrion],1.1.1.100,AFUA_1G14380 or AFUA_2G17560 or AFUA_3G10540 or AFUA_5G01040 or AFUA_7G04980,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R635,[ACP]acetyltransferase,acetyl-CoA [nucleus] + Acyl-[acp] [nucleus] --> coenzyme A [nucleus] + Acetyl-[acyl-carrier protein] [nucleus],2.3.1.38,AFUA_3G04220,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R636,[ACP]acetyltransferase,acetyl-CoA [cytoplasm] + Acyl-[acp] [cytoplasm] --> coenzyme A [cytoplasm] + Acetyl-[acyl-carrier protein] [cytoplasm],2.3.1.38,AFUA_3G04220,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R637,[ACP]acetyltransferase,stearoyl-CoA [endoplasmic_reticulum] + sphinganine (C18) [endoplasmic_reticulum] --> coenzyme A [endoplasmic_reticulum] + Cerebrin 2 [endoplasmic_reticulum],2.3.1.38,AFUA_6G10460,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R638,Acyl-CoA synthetase,ATP [cytoplasm] + coenzyme A [cytoplasm] + hexanoate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + hexanoyl-CoA [cytoplasm],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R639,Acyl-CoA synthetase,ATP [mitochondrion] + coenzyme A [mitochondrion] + hexanoate [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + hexanoyl-CoA [mitochondrion],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R640,Fatty-acid synthase,34.0 NADPH [nucleus] + 2.0 Acyl-[acp] [nucleus] + 17.0 Malonyl-[acyl-carrier protein] [nucleus] --> 34.0 NADP(+) [nucleus] + 17.0 CO2 [nucleus] + 17.0 Acyl-carrier protein [nucleus] + 2.0 Pentadecanoyl-[acp] [nucleus],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R641,Fatty-acid synthase,34.0 NADPH [cytoplasm] + 2.0 Acyl-[acp] [cytoplasm] + 17.0 Malonyl-[acyl-carrier protein] [cytoplasm] --> 34.0 NADP(+) [cytoplasm] + 17.0 CO2 [cytoplasm] + 17.0 Acyl-carrier protein [cytoplasm] + 2.0 Pentadecanoyl-[acp] [cytoplasm],2.3.1.85,AFUA_4G14560,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R642,Squalene synthase,squalene [cytoplasm] <=> Diploptene [cytoplasm],5.4.99.17,AFUA_7G00260,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R643,Squalene synthase,squalene [peroxisome] <=> Diploptene [peroxisome],5.4.99.17,AFUA_7G00260,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R644,Long-chain-fatty-acid-CoA ligase,ATP [extracellular] + coenzyme A [extracellular] + linoleate [extracellular] --> H2O [extracellular] + diphosphate [extracellular] + AMP [extracellular] + Octadecadienoyl-CoA [extracellular],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R645,Acyl-CoA synthetase,ATP [cytoplasm] + coenzyme A [cytoplasm] + Tetradecenoate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + trans-tetradec-2-enoyl-CoA [cytoplasm],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R646,Acyl-CoA synthetase,ATP [mitochondrion] + coenzyme A [mitochondrion] + Tetradecenoate [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + trans-tetradec-2-enoyl-CoA [mitochondrion],6.2.1.3,AFUA_1G05980,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R647,stearoyl-CoA 9-desaturase,NADH [cytoplasm] + oxygen [cytoplasm] + Octadecenoyl-[acp] [cytoplasm] --> 2.0 H2O [cytoplasm] + NAD(+) [cytoplasm] + Linolenoyl-[acp] [cytoplasm],1.14.19.1,AFUA_6G03050 or AFUA_1G12530,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R648,Fatty-acid synthase,Malonyl-[acyl-carrier protein] [nucleus] + Octadecanoyl-[acyl-carrier protein] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxoeicosanoyl-[acp] [nucleus],2.3.1.85,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R649,Fatty-acid synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Octadecanoyl-[acyl-carrier protein] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxoeicosanoyl-[acp] [cytoplasm],2.3.1.85,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R650,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [nucleus] + Heptanoyl-[acp] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxononanoyl-[acp] [nucleus],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R651,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Heptanoyl-[acp] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxononanoyl-[acp] [cytoplasm],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R652,Steryl-ester acylhydrolase,"14.0 H2O [lipid_particle] + 4.0 ergosterol ester [lipid_particle] --> palmitate [lipid_particle] + 2.0 1,2-Diacyl-sn-glycerol [lipid_particle] + (9Z)-Octadecenoic acid [lipid_particle] + 2.0 stearate [lipid_particle] + linoleate [lipid_particle] + (9Z,12Z,15Z)-Octadecatrienoic acid [lipid_particle]",3.1.1.13,AFUA_5G08960 or AFUA_4G08440,0,1000,0,Fatty acid metabolism,KEGG:R02115,r675iLC915 [5]
,R653,Steryl-ester acylhydrolase,"14.0 H2O [lipid_particle] + 4.0 Episterol ester [lipid_particle] --> palmitate [lipid_particle] + 2.0 1,2-Diacyl-sn-glycerol [lipid_particle] + (9Z)-Octadecenoic acid [lipid_particle] + stearate [lipid_particle] + 2.0 linoleate [lipid_particle] + (9Z,12Z,15Z)-Octadecatrienoic acid [lipid_particle]",3.1.1.13,AFUA_5G08960 or AFUA_4G08440,0,1000,0,Fatty acid metabolism,KEGG:R02115,r676iLC915 [5]
,R654,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [nucleus] + Pentanoyl-[acp] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxoheptanoyl-[acp] [nucleus],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R655,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Pentanoyl-[acp] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxoheptanoyl-[acp] [cytoplasm],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R656,Steryl-ester acylhydrolase,"10.0 H2O [lipid_particle] + 6.0 fecosterol ester [lipid_particle] --> 2.0 B00002 [lipid_particle] + 2.0 palmitate [lipid_particle] + 2.0 1,2-Diacyl-sn-glycerol [lipid_particle] + (9Z)-Octadecenoic acid [lipid_particle] + 4.0 stearate [lipid_particle] + linoleate [lipid_particle] + (9Z,12Z,15Z)-Octadecatrienoic acid [lipid_particle]",3.1.1.13,AFUA_5G08960 or AFUA_4G08440,0,1000,0,Fatty acid metabolism,KEGG:R02115,r677iLC915 [5]
,R657,Steryl-ester acylhydrolase,"3.0 Lanosterol ester [lipid_particle] --> B00002 [lipid_particle] + palmitate [lipid_particle] + 1,2-Diacyl-sn-glycerol [lipid_particle] + (9Z)-Octadecenoic acid [lipid_particle] + stearate [lipid_particle] + linoleate [lipid_particle] + (9Z,12Z,15Z)-Octadecatrienoic acid [lipid_particle]",3.1.1.13,AFUA_5G08960 or AFUA_4G08440,0,1000,0,Fatty acid metabolism,KEGG:R02115,r678iLC915 [5]
,R658,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [nucleus] + Tridecanoyl-[acp] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxopentadecanoyl-[acp] [nucleus],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R659,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Tridecanoyl-[acp] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxopentadecanoyl-[acp] [cytoplasm],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R660,[ACP]acetyltransferase,oleoyl-CoA [endoplasmic_reticulum] +  [endoplasmic_reticulum] --> coenzyme A [endoplasmic_reticulum] +  [endoplasmic_reticulum],2.3.1.38,AFUA_6G10460,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R661,D-erythro-3-methylmalate hydro-lyase (2-methylmaleate-forming),H2O [cytoplasm] + Hexadecenoyl-[acp] [cytoplasm] --> Acyl-carrier protein [cytoplasm] + palmitoleate [cytoplasm],3.1.2.14,,0,1000,0,Fatty acid metabolism,KEGG:R08162,r689iLC915 [5]
,R662,[ACP]acetyltransferase,stearoyl-CoA [endoplasmic_reticulum] + Sphinganine [endoplasmic_reticulum] --> coenzyme A [endoplasmic_reticulum] + Cerebroside 1 [endoplasmic_reticulum],2.3.1.38,AFUA_6G10460,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R663,3-oxoacyl-[acyl-carrier-protein] reductase,NADPH [cytoplasm] + 3-Oxododecanoyl-[acp] [cytoplasm] <=> NADP(+) [cytoplasm] + 3-hydroxylauroyl-[acp] [cytoplasm],1.1.1.100,AFUA_7G04540 or AFUA_6G08560 or AFUA_1G10100 or AFUA_1G14350 or AFUA_1G17650 or AFUA_5G12480,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R664,3-oxoacyl-[acyl-carrier-protein] reductase,NADPH [mitochondrion] + 3-Oxododecanoyl-[acp] [mitochondrion] <=> NADP(+) [mitochondrion] + 3-hydroxylauroyl-[acp] [mitochondrion],1.1.1.100,AFUA_7G04540 or AFUA_6G08560 or AFUA_1G10100 or AFUA_1G14350 or AFUA_1G17650 or AFUA_5G12480,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R665,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [nucleus] + Heptadecanoic acid-[acp] [nucleus] --> CO2 [nucleus] + Acyl-carrier protein [nucleus] + 3-oxononadecanoyl-[acp] [nucleus],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R666,3-oxoacyl-[acyl-carrier-protein] synthase,Malonyl-[acyl-carrier protein] [cytoplasm] + Heptadecanoic acid-[acp] [cytoplasm] --> CO2 [cytoplasm] + Acyl-carrier protein [cytoplasm] + 3-oxononadecanoyl-[acp] [cytoplasm],2.3.1.41,AFUA_7G06700,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R667,3-hydroxyacyl-CoA dehydrogenase,NAD(+) [peroxisome] + 3-hydroxyoctadecanoyl-CoA [peroxisome] <=> NADH [peroxisome] + 3-oxooctadecanoyl-CoA [peroxisome],1.1.1.35,AFUA_3G00290 or AFUA_3G03860 or AFUA_5G10070,-1000,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R668,3-ketoacyl-CoA thiolase,coenzyme A [peroxisome] + 3-oxooctadecanoyl-CoA [peroxisome] --> acetyl-CoA [peroxisome] + palmitoyl-CoA [peroxisome],2.3.1.16,AFUA_1G12650 or AFUA_2G11350 or AFUA_7G04080 or AFUA_4G10950,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R669,Oleate delta-12 desaturase,NADH [cytoplasm] + oxygen [cytoplasm] + Hexadecenoyl-[acp] [cytoplasm] --> 2.0 H2O [cytoplasm] + NAD(+) [cytoplasm] + hexadecadienoyl-[acp] [cytoplasm],1.14.19.3,AFUA_6G03050 or AFUA_1G12530,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R670,Acyl-CoA synthetase,ATP [extracellular] + coenzyme A [extracellular] + palmitoleate [extracellular] --> H2O [extracellular] + diphosphate [extracellular] + AMP [extracellular] + trans-hexadec-2-enoyl-CoA [extracellular],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R671,[ACP]acetyltransferase,oleoyl-CoA [endoplasmic_reticulum] + sphinganine [endoplasmic_reticulum] --> coenzyme A [endoplasmic_reticulum] + Cerebrin 2 [endoplasmic_reticulum],2.3.1.38,AFUA_6G10460,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R672,Acyl-CoA synthetase,ATP [extracellular] + coenzyme A [extracellular] + hexadecadienoyl [extracellular] --> H2O [extracellular] + diphosphate [extracellular] + AMP [extracellular] + hexadecadienoyl-CoA [extracellular],6.2.1.3,AFUA_5G04280,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R673,Long-chain-acyl-CoA dehydrogenase,FAD [mitochondrion] + stearoyl-CoA [mitochondrion] --> FADH2 [mitochondrion] + trans-octadec-2-enoyl-CoA [mitochondrion],1.3.8.7,AFUA_3G01920 or AFUA_6G10880 or AFUA_4G08490 or AFUA_5G09980 or AFUA_2G16630 or AFUA_5G06500 or AFUA_7G06510,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R674,Long-chain-acyl-CoA dehydrogenase,FAD [cytoplasm] + stearoyl-CoA [cytoplasm] --> FADH2 [cytoplasm] + trans-octadec-2-enoyl-CoA [cytoplasm],1.3.8.7,AFUA_3G01920 or AFUA_6G10880 or AFUA_4G08490 or AFUA_5G09980 or AFUA_2G16630 or AFUA_5G06500 or AFUA_7G06510,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R675,Long-chain-acyl-CoA dehydrogenase,FAD [peroxisome] + stearoyl-CoA [peroxisome] --> FADH2 [peroxisome] + trans-octadec-2-enoyl-CoA [peroxisome],1.3.8.7,AFUA_3G01920 or AFUA_6G10880 or AFUA_4G08490 or AFUA_5G09980 or AFUA_2G16630 or AFUA_5G06500 or AFUA_7G06510,0,1000,0,Fatty acid metabolism,,A. fumigatus central metabolism [1]
,R676,Acyl-CoA:acetyl-CoA C-acyltransferase,coenzyme A [extracellular] + 3-Oxoacyl-CoA [extracellular] --> acetyl-CoA [extracellular] + acyl-CoA [extracellular],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,0,1000,0,Fatty acid metabolism,KEGG:R00391,r879ANIDULANS [3]
,R677,Acyl-CoA:acetyl-CoA C-acyltransferase,coenzyme A [mitochondrion] + 3-Oxoacyl-CoA [mitochondrion] --> acetyl-CoA [mitochondrion] + acyl-CoA [mitochondrion],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,0,1000,0,Fatty acid metabolism,KEGG:R00391,r879ANIDULANS [3]
,R678,Type II fatty acid synthase,3.0 NADPH [mitochondrion] + 3.0 Acyl-[acp] [mitochondrion] + Malonyl-[acyl-carrier protein] [mitochondrion] --> 3.0 B00002 [mitochondrion] + H2O [mitochondrion] + 3.0 NADP(+) [mitochondrion] + 2.0 CO2 [mitochondrion] + 3.0 Acyl-carrier protein [mitochondrion] + Decanoyl-[acp] [mitochondrion],1.6.5.3; 1.1.1.100,AFUA_4G14560 or AFUA_1G06620 or AFUA_2G05760,0,1000,0,Fatty acid metabolism,,r888ANIDULANS [3]
