ID_old	ID_new	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	SUBSYSTEM
r0106iAL1006R00717[n]	R1269	Glycolate:NAD+ oxidoreductase	NAD(+) [nucleus] + glycolate [nucleus] --> NADH [nucleus] + glyoxylate [nucleus]	1.1.1.26; 1.1.1.29	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r0106iAL1006R00717[c]	R1270	Glycolate:NAD+ oxidoreductase	NAD(+) [cytoplasm] + glycolate [cytoplasm] --> NADH [cytoplasm] + glyoxylate [cytoplasm]	1.1.1.26; 1.1.1.29	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r0106iAL1006R00717[m]	R1271	Glycolate:NAD+ oxidoreductase	NAD(+) [mitochondrion] + glycolate [mitochondrion] --> NADH [mitochondrion] + glyoxylate [mitochondrion]	1.1.1.26; 1.1.1.29	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r0255YCM606R00009[c]	R1272	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2.0 H2O2 [cytoplasm] --> 2.0 H2O [cytoplasm] + oxygen [cytoplasm]	1.11.1.6; 1.11.1.21	AFUA_2G00200 or AFUA_6G03890	Glyoxylate and dicarboxylate metabolism
r0255YCM606R00009[e]	R1273	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2.0 H2O2 [extracellular] --> 2.0 H2O [extracellular] + oxygen [extracellular]	1.11.1.6; 1.11.1.21	AFUA_3G02270	Glyoxylate and dicarboxylate metabolism
r0255YCM606R00009[p]	R1274	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2.0 H2O2 [peroxisome] --> 2.0 H2O [peroxisome] + oxygen [peroxisome]	1.11.1.6; 1.11.1.21	AFUA_8G01670 or AFUA_2G18030	Glyoxylate and dicarboxylate metabolism
r0445YCM606R00519[m]	R1275	formate:NAD+ oxidoreductase	NAD(+) [mitochondrion] + formate [mitochondrion] --> NADH [mitochondrion] + CO2 [mitochondrion]	1.17.1.9	AFUA_6G04920	Glyoxylate and dicarboxylate metabolism
r0476YCM606R00253[c]	R1276	L-Glutamate:ammonia ligase (ADP-forming)	ATP [cytoplasm] + L-glutamate [cytoplasm] + NH3 [cytoplasm] --> ADP [cytoplasm] + phosphate [cytoplasm] + L-glutamine [cytoplasm]	6.3.1.2	AFUA_2G15390 or AFUA_4G13120 or AFUA_6G03530	Glyoxylate and dicarboxylate metabolism
r0476YCM606R00253[m]	R1277	L-Glutamate:ammonia ligase (ADP-forming)	ATP [mitochondrion] + L-glutamate [mitochondrion] + NH3 [mitochondrion] --> ADP [mitochondrion] + phosphate [mitochondrion] + L-glutamine [mitochondrion]	6.3.1.2	AFUA_4G03710	Glyoxylate and dicarboxylate metabolism
r0501YCM606R01221[m]	R1278	glycine synthase; glycine cleavage system	"NAD(+) [mitochondrion] + glycine [mitochondrion] + tetrahydrofolate [mitochondrion] --> NADH [mitochondrion] + CO2 [mitochondrion] + 5,10-methylenetetrahydrofolate [mitochondrion] + NH3 [mitochondrion]"	1.4.4.2; 1.8.1.4; 2.1.2.10	AFUA_1G12070 and AFUA_1G10780 and AFUA_2G02100 and AFUA_4G03760	Glyoxylate and dicarboxylate metabolism
r0502YCM606R00945[c]	R1279	"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase"	"L-serine [cytoplasm] + tetrahydrofolate [cytoplasm] <=> H2O [cytoplasm] + glycine [cytoplasm] + 5,10-methylenetetrahydrofolate [cytoplasm]"	2.1.2.1	AFUA_3G09320	Glyoxylate and dicarboxylate metabolism
r0502YCM606R00945[m]	R1280	"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase"	"L-serine [mitochondrion] + tetrahydrofolate [mitochondrion] <=> H2O [mitochondrion] + glycine [mitochondrion] + 5,10-methylenetetrahydrofolate [mitochondrion]"	2.1.2.1	AFUA_2G07810	Glyoxylate and dicarboxylate metabolism
r0662YCM606R00479[n]	R1281	isocitrate glyoxylate-lyase (succinate-forming)	isocitrate [nucleus] --> succinate [nucleus] + glyoxylate [nucleus]	4.1.3.1	AFUA_6G02860 or AFUA_4G13510	Glyoxylate and dicarboxylate metabolism
r0662YCM606R00479[c]	R1282	isocitrate glyoxylate-lyase (succinate-forming)	isocitrate [cytoplasm] --> succinate [cytoplasm] + glyoxylate [cytoplasm]	4.1.3.1	AFUA_4G13510	Glyoxylate and dicarboxylate metabolism
r0762YCM606R01959[c]	R1283	N-Formyl-L-kynurenine amidohydrolase	H2O [cytoplasm] + L-Formylkynurenine [cytoplasm] --> formate [cytoplasm] + L-Kynurenine [cytoplasm]	3.5.1.9	AFUA_1G09960	Glyoxylate and dicarboxylate metabolism
r120AORYZAER01388[n]	R1284	D-Glycerate:NAD+ 2-oxidoreductase	NAD(+) [nucleus] + D-glycerate [nucleus] <-- NADH [nucleus] + 3-hydroxypyruvate [nucleus]	1.1.1.26; 1.1.1.29; 1.1.1.81	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r120AORYZAER01388[c]	R1285	D-Glycerate:NAD+ 2-oxidoreductase	NAD(+) [cytoplasm] + D-glycerate [cytoplasm] <-- NADH [cytoplasm] + 3-hydroxypyruvate [cytoplasm]	1.1.1.26; 1.1.1.29; 1.1.1.81	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r120AORYZAER01388[m]	R1286	D-Glycerate:NAD+ 2-oxidoreductase	NAD(+) [mitochondrion] + D-glycerate [mitochondrion] <-- NADH [mitochondrion] + 3-hydroxypyruvate [mitochondrion]	1.1.1.26; 1.1.1.29; 1.1.1.81	AFUA_1G13630 or AFUA_4G11840 or AFUA_1G14400 or AFUA_6G10090	Glyoxylate and dicarboxylate metabolism
r191[c]	R1287	Tartrate dehydrogenase	NAD(+) [cytoplasm] + tartrate [cytoplasm] <=> NADH [cytoplasm] + Oxaloglycolate [cytoplasm]	1.1.1.93	AFUA_8G01160 or AFUA_1G04150	Glyoxylate and dicarboxylate metabolism
r229[e]	R1288	Oxalate decarboxylase	oxalate [extracellular] --> CO2 [extracellular] + formate [extracellular]	4.1.1.2	AFUA_2G14610	Glyoxylate and dicarboxylate metabolism
r251ANIDULANSR01514[n]	R1289	ATP:(R)-glycerate 3-phosphotransferase	ATP [nucleus] + D-glycerate [nucleus] --> ADP [nucleus] + 3-phospho-D-glycerate [nucleus]	2.7.1.31	AFUA_4G03890	Glyoxylate and dicarboxylate metabolism
r251ANIDULANSR01514[c]	R1290	ATP:(R)-glycerate 3-phosphotransferase	ATP [cytoplasm] + D-glycerate [cytoplasm] --> ADP [cytoplasm] + 3-phospho-D-glycerate [cytoplasm]	2.7.1.31	AFUA_4G03890	Glyoxylate and dicarboxylate metabolism
r715iSS884R01334[c]	R1291	2-phosphoglycolate phosphohydrolase	H2O [cytoplasm] + 2-phosphoglycolate [cytoplasm] --> phosphate [cytoplasm] + glycolate [cytoplasm]	3.1.3.18	AFUA_7G00760	Glyoxylate and dicarboxylate metabolism
r91AORYZAE[m]	R1292	Dihydrolipoamide S-succinyltransferase complex	NAD(+) [mitochondrion] + coenzyme A [mitochondrion] + 2-oxoglutarate [mitochondrion] --> NADH [mitochondrion] + CO2 [mitochondrion] + succinyl-CoA [mitochondrion]	1.2.4.2; 2.3.1.61; 1.8.1.4	AFUA_2G02100 and AFUA_3G05370 and AFUA_4G11650	Glyoxylate and dicarboxylate metabolism
r947AORYZAER00524[c]	R1293	Formamide amidohydrolase	H2O [cytoplasm] + formamide [cytoplasm] --> formate [cytoplasm] + NH3 [cytoplasm]	3.5.1.49	AFUA_2G02020	Glyoxylate and dicarboxylate metabolism
N2METHYLCITRATEDEHYDRATASERXNMetaCyc[m]	R2135	2-methylcitrate dehydratase	"(2S,3S)-2-methylcitrate [mitochondrion] <=> H2O [mitochondrion] + (Z)-but-2-ene-1,2,3-tricarboxylate [mitochondrion]"	4.2.1.79	AFUA_2G13610 or AFUA_6G03730	Propanoate metabolism
R00706KEGGR00706[m]	R2136	"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)"	NADP(+) [mitochondrion] + coenzyme A [mitochondrion] + 3-Oxopropanoate [mitochondrion] --> NADPH [mitochondrion] + CO2 [mitochondrion] + acetyl-CoA [mitochondrion]	1.2.1.18	AFUA_4G12870	Propanoate metabolism
R00926KEGGR00926[c]	R2137	Propionyladenylate:CoA propionyltransferase	coenzyme A [cytoplasm] + Propionyl-adenosine monophosphate [cytoplasm] <=> AMP [cytoplasm] + propionyl-CoA [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	Propanoate metabolism
R00926KEGGR00926[p]	R2138	Propionyladenylate:CoA propionyltransferase	coenzyme A [peroxisome] + Propionyl-adenosine monophosphate [peroxisome] <=> AMP [peroxisome] + propionyl-CoA [peroxisome]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	Propanoate metabolism
R01000KEGGR01000[c]	R2139	2-hydroxybutyrate:NAD+ oxidoreductase	NAD(+) [cytoplasm] + 2-Hydroxybutanoic acid [cytoplasm] <-- NADH [cytoplasm] + 2-oxobutanoate [cytoplasm]	1.1.1.27	AFUA_5G14800	Propanoate metabolism
R01353KEGGR01353[c]	R2140	ATP:propanoate phosphotransferase	ATP [cytoplasm] + propionate [cytoplasm] <-- ADP [cytoplasm] + propanoyl phosphate [cytoplasm]	2.7.2.1; 2.7.2.15	AFUA_3G10750	Propanoate metabolism
R01353KEGGR01353[m]	R2141	ATP:propanoate phosphotransferase	ATP [mitochondrion] + propionate [mitochondrion] <-- ADP [mitochondrion] + propanoyl phosphate [mitochondrion]	2.7.2.1; 2.7.2.15	AFUA_3G10750	Propanoate metabolism
R01354KEGGR01354[c]	R2142	ATP:propanoate adenylyltransferase	ATP [cytoplasm] + propionate [cytoplasm] <=> diphosphate [cytoplasm] + Propionyl-adenosine monophosphate [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	Propanoate metabolism
R01354KEGGR01354[p]	R2143	ATP:propanoate adenylyltransferase	ATP [peroxisome] + propionate [peroxisome] <=> diphosphate [peroxisome] + Propionyl-adenosine monophosphate [peroxisome]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	Propanoate metabolism
R01608KEGGR01608[m]	R2144	3-hydroxypropanoate:NAD+ oxidoreductase	NAD(+) [mitochondrion] + 3-hydroxypropanoate [mitochondrion] <-- NADH [mitochondrion] + 3-Oxopropanoate [mitochondrion]	1.1.1.59	AFUA_6G11020	Propanoate metabolism
R02940KEGGR02940[c]	R2145	2-Propyn-1-al:NAD+ oxidoreductase	H2O [cytoplasm] + NAD(+) [cytoplasm] + 2-Propyn-1-al [cytoplasm] --> NADH [cytoplasm] + Acetylenecarboxylic acid [cytoplasm]	1.2.1.3	AFUA_2G00720 or AFUA_7G01000 or AFUA_6G11430	Propanoate metabolism
R03045KEGGR03045[c]	R2146	3-Hydroxypropionyl-CoA hydro-lyase	3-hydroxypropanoyl-CoA [cytoplasm] <-- H2O [cytoplasm] + acryloyl-CoA [cytoplasm]	4.2.1.17; 4.2.1.116	AFUA_2G10920 or AFUA_8G01210	Propanoate metabolism
R03045KEGGR03045[m]	R2147	3-Hydroxypropionyl-CoA hydro-lyase	3-hydroxypropanoyl-CoA [mitochondrion] <-- H2O [mitochondrion] + acryloyl-CoA [mitochondrion]	4.2.1.17; 4.2.1.116	AFUA_2G10920 or AFUA_8G01210	Propanoate metabolism
R03158KEGGR03158[m]	R2148	3-hydroxyisobutyryl-CoA hydrolase	coenzyme A [mitochondrion] + 3-hydroxypropanoate [mitochondrion] <-- H2O [mitochondrion] + 3-hydroxypropanoyl-CoA [mitochondrion]	3.1.2.4	AFUA_5G12790	Propanoate metabolism
R75ANIGER[c]	R2149	aldehyde dehydrogenase	H2O [cytoplasm] + NAD(+) [cytoplasm] + propanal [cytoplasm] --> NADH [cytoplasm] + propionate [cytoplasm]		AFUA_2G15660	Propanoate metabolism
R75ANIGER[m]	R2150	aldehyde dehydrogenase	H2O [mitochondrion] + NAD(+) [mitochondrion] + propanal [mitochondrion] --> NADH [mitochondrion] + propionate [mitochondrion]		AFUA_2G15660	Propanoate metabolism
R79ANIGER[m]	R2151	2-methylcitrate hydrolyase	2-Methylcitrate [mitochondrion] <=> H2O [mitochondrion] + 2-methyl-trans-aconitate [mitochondrion]	4.2.1.79	AFUA_2G13610 or AFUA_6G03730	Propanoate metabolism
r0028YCM606R00931[m]	R2152	"propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming); 2-methylcitrate oxaloacetate-lyase"	H2O [mitochondrion] + oxaloacetate [mitochondrion] + propionyl-CoA [mitochondrion] --> coenzyme A [mitochondrion] + 2-Methylcitrate [mitochondrion]	2.3.3.5	AFUA_6G03590	Propanoate metabolism
r0117YCM606[m]	R2153	aconitase	"2-Methylcitrate [mitochondrion] <=> (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate [mitochondrion]"	4.2.1.79	AFUA_2G13610 or AFUA_6G03730	Propanoate metabolism
r0734YCM606R00409[m]	R2154	"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)"	"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate [mitochondrion] --> pyruvate [mitochondrion] + succinate [mitochondrion]"	4.1.3.30	AFUA_6G02860	Propanoate metabolism
r148iLC915R00705[m]	R2155	"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)"	NAD(+) [mitochondrion] + coenzyme A [mitochondrion] + 3-Oxopropanoate [mitochondrion] --> NADH [mitochondrion] + CO2 [mitochondrion] + acetyl-CoA [mitochondrion]	1.2.1.18; 1.2.1.27	AFUA_4G12870	Propanoate metabolism
r151iLC915R00935[m]	R2156	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating)	NAD(+) [mitochondrion] + coenzyme A [mitochondrion] + (S)-Methylmalonate semialdehyde [mitochondrion] --> NADH [mitochondrion] + CO2 [mitochondrion] + propionyl-CoA [mitochondrion]	1.2.1.27	AFUA_4G12870	Propanoate metabolism
r183AORYZAE[c]	R2157	1-aminocyclopropane-1-carboxylate synthase	S-adenosyl-L-methionine [cytoplasm] --> 5'-S-methyl-5'-thioadenosine [cytoplasm] + 1-aminocyclopropanecarboxylate [cytoplasm]	4.4.1.14		Propanoate metabolism
r184AORYZAE[c]	R2158	1-aminocyclopropane-1-carboxylate deaminase	H2O [cytoplasm] + 1-aminocyclopropanecarboxylate [cytoplasm] --> 2-oxobutanoate [cytoplasm] + NH3 [cytoplasm]	3.5.99.7	AFUA_2G01030 or AFUA_5G03420	Propanoate metabolism
r184AORYZAE[m]	R2159	1-aminocyclopropane-1-carboxylate deaminase	H2O [mitochondrion] + 1-aminocyclopropanecarboxylate [mitochondrion] --> 2-oxobutanoate [mitochondrion] + NH3 [mitochondrion]	3.5.99.7	AFUA_2G01030 or AFUA_5G03420	Propanoate metabolism
r356[c]	R2160	Propanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + Pentadecanoic acid [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + Pentadecanoyl-CoA [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_1G05980	Propanoate metabolism
r356[m]	R2161	Propanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + coenzyme A [mitochondrion] + Pentadecanoic acid [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + Pentadecanoyl-CoA [mitochondrion]	6.2.1.1; 6.2.1.17	AFUA_1G05980	Propanoate metabolism
r392[n]	R2162	Propanoate:CoA ligase (AMP-forming)	RNA [nucleus] + NTP [nucleus] <=> diphosphate [nucleus] + transfer RNA [nucleus]	6.2.1.1; 6.2.1.17	AFUA_3G06790	Propanoate metabolism
r528iLC915R00908[m]	R2163	beta-alanine:2-oxoglutarate aminotransferase	2-oxoglutarate [mitochondrion] + beta-alanine [mitochondrion] <=> L-glutamate [mitochondrion] + 3-Oxopropanoate [mitochondrion]	2.6.1.19; 2.6.1.55	AFUA_5G06680	Propanoate metabolism
r605[m]	R2164	Propanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + L-alanine [mitochondrion] + tRNA(Ala) [mitochondrion] <=> diphosphate [mitochondrion] + AMP [mitochondrion] + L-Alanyl-tRNA [mitochondrion]	6.2.1.1; 6.2.1.17	AFUA_6G02400	Propanoate metabolism
r633[p]	R2165	Propanoate:CoA ligase (AMP-forming)	ATP [peroxisome] + coenzyme A [peroxisome] + Long-chain carboxylate [peroxisome] <=> diphosphate [peroxisome] + AMP [peroxisome] + acyl-CoA [peroxisome]	6.2.1.1; 6.2.1.17	AFUA_2G10160	Propanoate metabolism
r649[n]	R2166	Propanoate:CoA ligase (AMP-forming)	ATP [nucleus] + tRNA(Met) [nucleus] + selenomethionine [nucleus] --> diphosphate [nucleus] + AMP [nucleus] + Selenomethionyl-tRNA(Met) [nucleus]	6.2.1.1; 6.2.1.17	AFUA_1G09010 or AFUA_4G07820	Propanoate metabolism
r649[c]	R2167	Propanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + tRNA(Met) [cytoplasm] + selenomethionine [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + Selenomethionyl-tRNA(Met) [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_1G09010 or AFUA_4G07820	Propanoate metabolism
r649[m]	R2168	Propanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + tRNA(Met) [mitochondrion] + selenomethionine [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + Selenomethionyl-tRNA(Met) [mitochondrion]	6.2.1.1; 6.2.1.17	AFUA_1G09010 or AFUA_4G07820	Propanoate metabolism
r700[c]	R2169	Propanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + octanoate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + octanoyl-CoA [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_1G05980	Propanoate metabolism
r700[m]	R2170	Propanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + coenzyme A [mitochondrion] + octanoate [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + octanoyl-CoA [mitochondrion]	6.2.1.1; 6.2.1.17	AFUA_1G05980	Propanoate metabolism
r72[c]	R2171	Propanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + Higher fatty acid [cytoplasm] <=> diphosphate [cytoplasm] + AMP [cytoplasm] + long-chain acyl-CoAs [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_4G06850	Propanoate metabolism
r72[m]	R2172	Propanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + coenzyme A [mitochondrion] + Higher fatty acid [mitochondrion] <=> diphosphate [mitochondrion] + AMP [mitochondrion] + long-chain acyl-CoAs [mitochondrion]	6.2.1.1; 6.2.1.17	AFUA_4G06850	Propanoate metabolism
r826[m]	R2173	Methylmalonyl-CoA decarboxylase	(S)-methylmalonyl-CoA [mitochondrion] --> CO2 [mitochondrion] + propionyl-CoA [mitochondrion]	7.2.4.3	AFUA_5G07580	Propanoate metabolism
R00215KEGGR00215[c]	R265	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	NAD(+) [cytoplasm] + (R)-malate [cytoplasm] --> NADH [cytoplasm] + CO2 [cytoplasm] + pyruvate [cytoplasm]	1.1.1.93; 4.1.1.73; 1.1.1.83	AFUA_8G01160 or AFUA_1G04150	Butanoate metabolism
R00226KEGGR00226[c]	R266	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating)	CO2 [cytoplasm] + (2S)-2-hydroxy-2-methyl-3-oxobutanoate [cytoplasm] <-- 2.0 pyruvate [cytoplasm]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	Butanoate metabolism
R00226KEGGR00226[m]	R267	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating)	CO2 [mitochondrion] + (2S)-2-hydroxy-2-methyl-3-oxobutanoate [mitochondrion] <-- 2.0 pyruvate [mitochondrion]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	Butanoate metabolism
R01361KEGGR01361[c]	R268	(R)-3-Hydroxybutanoate:NAD+ oxidoreductase	NAD(+) [cytoplasm] + (R)-3-hydroxybutanoate [cytoplasm] <-- NADH [cytoplasm] + acetoacetate [cytoplasm]	1.1.1.30	AFUA_5G09290	Butanoate metabolism
R01976KEGGR01976[m]	R269	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	NADP(+) [mitochondrion] + (S)-3-Hydroxybutanoyl-CoA [mitochondrion] <=> NADPH [mitochondrion] + acetoacetyl-CoA [mitochondrion]	1.1.1.157	AFUA_4G04410	Butanoate metabolism
R03545KEGGR03545[c]	R270	butanol dehydrogenase	NADPH [cytoplasm] + butanal [cytoplasm] <=> NADP(+) [cytoplasm] + n-butanol [cytoplasm]	1.1.1.-	AFUA_3G00620 or AFUA_5G11240 or AFUA_5G00300 or AFUA_4G03900 or AFUA_3G11930	Butanoate metabolism
R741ANIGERR01176[c]	R271	Butanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + butyrate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + butyryl-CoA [cytoplasm]	6.2.1.2	AFUA_1G05980	Butanoate metabolism
R741ANIGERR01176[m]	R272	Butanoate:CoA ligase (AMP-forming)	ATP [mitochondrion] + coenzyme A [mitochondrion] + butyrate [mitochondrion] --> diphosphate [mitochondrion] + AMP [mitochondrion] + butyryl-CoA [mitochondrion]	6.2.1.2	AFUA_1G05980	Butanoate metabolism
R84ANIGERR00713[c]	R273	succinate-semialdehyde:NAD+ oxidoreductase	H2O [cytoplasm] + NAD(+) [cytoplasm] + succinate semialdehyde [cytoplasm] --> NADH [cytoplasm] + succinate [cytoplasm]	1.2.1.16; 1.2.1.24	AFUA_3G00110 or AFUA_4G08170	Butanoate metabolism
R84ANIGERR00713[m]	R274	succinate-semialdehyde:NAD+ oxidoreductase	H2O [mitochondrion] + NAD(+) [mitochondrion] + succinate semialdehyde [mitochondrion] --> NADH [mitochondrion] + succinate [mitochondrion]	1.2.1.16; 1.2.1.24	AFUA_3G00110 or AFUA_4G08170	Butanoate metabolism
R854ANIGERR01175[p]	R275	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FAD [peroxisome] + butyryl-CoA [peroxisome] <-- Crotonoyl-CoA [peroxisome] + FADH2 [peroxisome]	1.3.3.6; 1.3.8.1; 1.3.8.7; 1.3.99.-	AFUA_7G06090 or AFUA_5G06500 or AFUA_7G06100	Butanoate metabolism
R854ANIGERR01175[m]	R276	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FAD [mitochondrion] + butyryl-CoA [mitochondrion] <-- Crotonoyl-CoA [mitochondrion] + FADH2 [mitochondrion]	1.3.3.6; 1.3.8.1; 1.3.8.7; 1.3.99.-	AFUA_7G06510	Butanoate metabolism
RXN12086MetaCyc[e]	R277	triacylglycerol lipase	"H2O [extracellular] + tributyrin [extracellular] <=> butyrate [extracellular] + 1,2-dibutyrin [extracellular]"	3.1.1.3	AFUA_1G09110 or AFUA_7G02040 or AFUA_2G10900 or AFUA_4G08440	Butanoate metabolism
RXN12086MetaCyc[m]	R278	triacylglycerol lipase	"H2O [mitochondrion] + tributyrin [mitochondrion] <=> butyrate [mitochondrion] + 1,2-dibutyrin [mitochondrion]"	3.1.1.3	AFUA_1G09110 or AFUA_7G02040 or AFUA_2G10900 or AFUA_4G08440	Butanoate metabolism
RXN12086MetaCyc[n]	R279	triacylglycerol lipase	"H2O [nucleus] + tributyrin [nucleus] <=> butyrate [nucleus] + 1,2-dibutyrin [nucleus]"	3.1.1.3	AFUA_1G09110 or AFUA_7G02040 or AFUA_2G10900 or AFUA_4G08440	Butanoate metabolism
r0068YCM606R01648[m]	R280	4-aminobutanoate:2-oxoglutarate aminotransferase	2-oxoglutarate [mitochondrion] + gamma-aminobutyrate [mitochondrion] --> L-glutamate [mitochondrion] + succinate semialdehyde [mitochondrion]	2.6.1.19	AFUA_5G06680	Butanoate metabolism
r0095YCM606[c]	R281	acetaldehyde condensation	2.0 acetaldehyde [cytoplasm] --> (R)-acetoin [cytoplasm]	4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74	AFUA_6G00750 or AFUA_5G14810 or AFUA_3G11070	Butanoate metabolism
r0469YCM606R00261[c]	R282	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)	L-glutamate [cytoplasm] --> CO2 [cytoplasm] + gamma-aminobutyrate [cytoplasm]	4.1.1.15	AFUA_6G13490 or AFUA_3G11120 or AFUA_8G06020	Butanoate metabolism
r0469YCM606R00261[m]	R283	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)	L-glutamate [mitochondrion] --> CO2 [mitochondrion] + gamma-aminobutyrate [mitochondrion]	4.1.1.15	AFUA_6G13490 or AFUA_3G11120 or AFUA_8G06020	Butanoate metabolism
r0559YCM606R01978[c]	R284	"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"	H2O [cytoplasm] + acetyl-CoA [cytoplasm] + acetoacetyl-CoA [cytoplasm] --> coenzyme A [cytoplasm] + (S)-3-hydroxy-3-methylglutaryl-CoA [cytoplasm]	2.3.3.10	AFUA_8G07210 or AFUA_3G10660	Butanoate metabolism
r0559YCM606R01978[m]	R285	"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"	H2O [mitochondrion] + acetyl-CoA [mitochondrion] + acetoacetyl-CoA [mitochondrion] --> coenzyme A [mitochondrion] + (S)-3-hydroxy-3-methylglutaryl-CoA [mitochondrion]	2.3.3.10	AFUA_8G07210	Butanoate metabolism
r1023YCM606R00714[c]	R286	succinate-semialdehyde:NADP+ oxidoreductase	H2O [cytoplasm] + NADP(+) [cytoplasm] + succinate semialdehyde [cytoplasm] <-- NADPH [cytoplasm] + succinate [cytoplasm]	1.2.1.16; 1.2.1.79	AFUA_3G00110 or AFUA_4G08170	Butanoate metabolism
r1023YCM606R00714[m]	R287	succinate-semialdehyde:NADP+ oxidoreductase	H2O [mitochondrion] + NADP(+) [mitochondrion] + succinate semialdehyde [mitochondrion] <-- NADPH [mitochondrion] + succinate [mitochondrion]	1.2.1.16; 1.2.1.79	AFUA_3G00110 or AFUA_4G08170	Butanoate metabolism
r189AORYZAER01357[c]	R288	Acetoacetate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + acetoacetate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + acetoacetyl-CoA [cytoplasm]	6.2.1.16	AFUA_1G11880 or AFUA_8G04770	Butanoate metabolism
